Id,Username,Age,Skin_Description,Date,Rating,Review
1242,hildahalawa,18 and Under,"Normal, Dark, Neutral",22 Oct 2022,5,"hai........................... ð nih aq mau berbagi informasi tentang barang yang satu ini ""Pond'S "" ,aq suka banget sama barangnya bagus dan keren banget sumpah deh ðð,dan cocok banget sama kulit aq....................... â¤ð dan yang terpenting terjamin dan terpecaya banget......... ðâ¤ð"
1243,hanitanf,19 - 24,"Normal, Medium, Neutral",22 Oct 2022,4,"Membersihkan bekas make up, cocok bgt jadi daily make up cleanser. Ada kemasan kecil jga, unyuu. Travel size banget. Harga oke, terjangkau lah buat anak SMA yg belajar2 make up. Wangi nya juga oke, soft ngga yg strong gitu. Bisa coba travel size dlu biar kalau ga cocok, langsung ganti.. ð¥°"
1244,amandapetraz,18 and Under,"Dry, Medium, Neutral",22 Oct 2022,5,"Produknya bagus banget, harganya masih super affordable, cocok banget di muka aku, ga bikin muka jadi beruntusan atau apapun..worth to buy banget deh pokoknya, wajib banget buat dicoba, wangi nya juga wangi rose enak banget ga bau alkohol"
1245,Dinaawalia,19 - 24,"Combination, Medium Light, Neutral",22 Oct 2022,5,"Pernah gonta-ganti micellar water, tapi ujung-ujungnya tetep paling cocok sama Pond's yang. khas Pond's banget. Kekuatan untuk angkat noda di wajah cukup bagus, ada efek mencerahkan dan ngelembapin nya juga. Harga terjangkau dan gampang banget ditemuin di toko maupun swalayan."
1246,gekmei,25 - 29,"Oily, Medium Dark, Warm",21 Oct 2022,5,"Sebagus itu di aku, aku cocok banget pakai ini. Muka ku jadi ga kering, ga kusam dan bikin seger. Wajib punya dan cobain produk ini sih menurutku, harganya juga bersahabat buat anak muda, tapi udah dapet kandungan dan khasiat yang bagus banget."
1247,adindasalvira,19 - 24,"Combination, Medium, Warm",21 Oct 2022,4,"micellar water yg mengandung vit A, B3, B5, C, E dan 100% organik. wangi rosenya ga terlalu kuat banget menurut aku ga yg enek gitu, pas bersihin make-up jadi lebih keliatan cerah glow glow, dan ga bikin perih di muka sm kalau kena mata ga perih banget gitu, kadang kan ada yg micellar water di pake di muka agak perih. over all bagus buat bersihin makeup langsung hap hap terhempas sisa-sisa make-up di wajah"
1248,Natalia_Pratamasari,19 - 24,"Oily, Medium Light, Neutral",21 Oct 2022,5,"Bagus banget sih produk ini, ku pertamanya ga expect sama sekali karena produknya terjangkau banget, murah banget, ini pun ku beli karena mau ngangkat make up yang tebal karena belakangan ini lagi belajar make up takutnya nanti klo hanya cuci muka kan bakal jerawatan, jadi try yang ini dulu deh, eh taunya semua make up nya keangkat dong."
1249,nahdiyatulmahmudah,19 - 24,"Combination, Medium Light, Neutral",21 Oct 2022,5,"Ponds micellar water ini menjadi salah satu micellar water andalan aku dan teman - temanku loh!!! Produk ini juga 100% bebas alkohol, ringan dan lembut di kulit, tidak meninggalkan rasa lengket atau oily. Hal lain yang membuat saya suka dengan produk ini adalah kandungan vitamin di dalamnya. Mengingat micellar water merupakan salah satu produk yang saya gunakan setiap hari, adanya tambahan vitamin dalam produk ini tentu menjadi nilai lebih"
1250,maskunah01,19 - 24,"Oily, Medium Light, Neutral",21 Oct 2022,5,bagus banget di kulit wajah aku bukan cuma ngangkat kotoran di wajah tapi juga bikin kulit aku jadi lebih cerahh love bangett pokokknya sama produk produknya ponds ga pernah mengecewakan. the best pokoknya bakal terus pake iniii lafffyuu ponds!!
1251,intan_nm,25 - 29,"Combination, Medium, Neutral",20 Oct 2022,4,"Must try this product! ini bener-bener ngangkat kotoran, dan sisa make up. Micellar water ponds jg ini beneran gak bikin kulit wajah kering, setelah dipake bikin wajah jadi lembab juga. Packaging juga simple, travel size jadi bisa dibawa kemana-mana yaaa!"
1252,jernysidabutar,30 - 34,",30 - 34",20 Oct 2022,5,"ini bagus banget. cocok banget di aku. muka jd ga kering, ga kusam, seger banget muka dan jd cerah gitu jadinya. Ini wajib banget punya soalnya harganya ramah dikantong tp hasiat di muka tuh waaah gila sih, aku sih rekomendasiin ini banget ðð»ðð»"
1253,Jubaedah_daeva206,35 - 39,"Oily, Medium, Neutral",20 Oct 2022,4,"alhamdulillah selama pakai micellar water dari pond's ini, ga bikin kulit wajah aku jadi kering. bener bener angkat kotoran make upku, apalagi kalau setelah make up tebal acara seharian.. sebelum aku cuci muka.. selalu aku bersihkan dl pakai micellar water ini."
1254,key_tika,25 - 29,"Normal, Medium, Neutral",20 Oct 2022,5,"Setelah pakai ini wajah berasa ringan banget karena debu-debu dan bekas Habis make up ke angkat, Pokoknya the best micellar water ponds varian rose ini aku suka Wangi nya dan yang pasti ga ada kandungan alkohol didalam nya. jadi aman banget"
1255,Yuraauliya,19 - 24,"Oily, Medium, Neutral",20 Oct 2022,5,"Suka banget karena awalnya beli botol kecil takut ga cocok ternyata cocok di aku. Setelah pemakaian beberapa minggu juga, engga buat kulit aku rusak malah lebih sehat karena muka aku selalu bersih dari make up dan kotoran karena pake micellar sebelum cuci muka ð«¶ð». This is was so affordable dan gampang dicari lagi huhu love this much ð­"
1256,helodeaa,25 - 29,"Combination, Medium Dark, Neutral",19 Oct 2022,5,"Produk Paling best ever after, karna apa? Selain bisa menghapus makeup dia juga sangat berfungsi banget untuk membantu meregenerasi dan menghidrasi kuli jadi bikin kulit wajah kalian nampak lembab, segar dan terawat.. keren banget sih .."
1257,hanisasantika13,19 - 24,"Normal, Medium, Neutral",19 Oct 2022,5,"Gilasih sebagus ini produknya. Aku baru pakai ini 2 bulan tapi ternyata beneran cocok buat aku, pas banget di wajah aku. Fix sih kalo udah habis aku bakal pake produk ini lagi, dan seterusnya bakal tetep pake ini. Pokoknya the best banget inið«¶ð»"
1258,Stella98,19 - 24,"Dry, Medium, Neutral",19 Oct 2022,4,"Sudah lama pakai Micellar Water dari Pond's dan sama sekali tidak mengecewakan , solusi skincare ringan versi aku ya kalau ini , baunya juga soft sekali tidak berat seperti yang lain nya , tidak perih juga dimata, membuat kulit wajah kita halus bak bayi."
1259,yeniyu,30 - 34,"Dry, Medium, Warm",19 Oct 2022,5,"pond's micellar water ini tuh bagus banget buat menghapus make up,bau nya wangi seger gitu dan formulanya kaya air biasa jadi gak pedes dimata dan sejauh ini aku cocok pake ini padahal aku tipe kulit yang sensitif.dan menurutku ponds ini sekali usap juga udah bersih"
1260,amreview15,25 - 29,"Dry, Medium Light, Neutral",19 Oct 2022,5,"ini udah kedua kalinya amni pake micellar water Ponds. Gak pernah mengecewakan. Teksturnya cair, ringan bangett, tapi bisa diandalkan utk mengangkat kotoran di wajah, sunscreen, dan makeup. cuma sepengelaman amni, produk ini kurang powerful utk membersihkan makeup yg waterproof. karena formulanya sangat light gak licin. plusnya produk ini bisa digunakan tanpa dibilas, meskipun ditinggal tidur gak bikin bruntusan, malah bikin muka cerah. sesuai dengan klaimnyað dengan harga, ukuran, dan kualitas yg sangat efektif. amni sangat rekomen produk ini utk temen2 jadikan first cleanser. selamat mencoba!"
1261,Mademoichelle,30 - 34,"Combination, Medium, Neutral",18 Oct 2022,4,"Dapat sampel (13 ml) dari beli pencuci mukanya. Kulitku ga ada reaksi negatif setelah pemakaian. Eyeliner & sunscreen terangkat sempurna dengan micellar water ini. Verdict: masih mau hunting brand lain, yang pasti prefer tekstur ini dibanding lotion untuk cleansing product."
1262,dya_andya,19 - 24,"Normal, Medium, Neutral",18 Oct 2022,5,Alhamdulillah selama aku pake micellar water dari pond's ga bikin kulit muka jadi kering dan bener-bener angkat kotaran makeup apalagi kemaren setelah acara wisuda makeup tebel tapi bisa keangkat banget.. jadi gampang banget ngebersihin nya
1263,farahainni,18 and Under,"Combination, Medium Dark, Neutral",18 Oct 2022,4,"Pond's vitamin micellar water ini bener bener bagus bangettðbener bener mengangkat kotoran yang ada di wajah aku.Dari pertama aku make miccelar water,aku pakai produk pond's ini sii..karena udah mengangkat kotoran,micellar water ini juga bikin wajah aku makin bersih dan cerahð¤"
1264,Donna1989,30 - 34,"Combination, Light, Neutral",18 Oct 2022,5,"Pond'd Vitamin Micellar Water ini Enak banget.. Menyegarkan wajah dan ampuh membersikah kulit wajah.. Selain mampu mengangkat make-up dan membersihkan wajah dari kotoran dan kuman, Pond's Vitamin Micellar Water ini mampu mencerahkan kulit wajah.."
1265,AdindaBL,25 - 29,"Normal, Medium Light, Neutral",17 Oct 2022,4,"hallo ! jadi sebelum di kirimin fd x ponds aku udah pernah beli sendiri dan i love them productsso this is my honest review for ponds vitamin micelar water brightening rose ðº- for packaging, botolnya warna pink dan tutupnya rapat so donât worry kalau di bawa untuk traveling dan cukup ringansepembacaan aku botolnya ini reusable yaa jadi cukup go-green ðº- for ingredients, micellar ini memiliki vitamin di dalamnya yaitu vitamin A, B3, B5, C, E dan 100% organic natural french rose dan 100% bebas alcohol. after pemakaian di muka aku sama sekali ga bikin perih, gatal, atau kering yang ada malah cukup melembapkan karena memiliki vitamin dan rose serta wangi rose nya cukup tercium tapi tidak mengganggu- for daya angkat, kalau aku pakai based on daily routine makeup yang sunscreen, concealer and two way cake dia butuh sekitar 3-4 kapas untuk bisa bersih dan sama sekali ga bikin kulit ku luka atau perih atau gatal dan gada rasa oily atau sticky setelah pemakaian. bahkan aku pernah hanya pakai MW ini lalu lupa bilas tapi besoknya ga nambah jerawatan atau bruntusan ð¹ disini aku punya kulit yang normal to combination dan acne prone dan cocok pakai product ini ! worth to try & buy karena harganya cukup affordable as a first cleanser"
1266,derinirs,19 - 24,"Combination, Light, Neutral",17 Oct 2022,5,"Always jatuh cintaa sama produk pondâs karena bener2 cocok banget sama kulit wajah akuð¤. Wajah itu investasi kalo versi menurutku, jadi harus selalu terlihat bersih dan cerah. Nah kalo aku solusinya tidak pernah absen nih dari produk ponds yang satu ini yaitu ponds vitamin micellar water yang diperkaya dengan kandungan water dan rose, selain bisa meberaihkan sisa make up, kotoran ternyata bisa mencerahkan kulit juga loh. Kan bagus banget sih emang produknya, produknya halal, bebas alkohol dan inituh cocok loh untuk semua jenis kulit. Yuk buruan order nih guys , temuin di alfamart atau indomart terdekat kalian yaahhhð¤"
1267,ayuaisyah0108,30 - 34,"Normal, Light, Neutral",17 Oct 2022,4,"jadi kan, wajah aku tu mudah brutusan. jadi disaranin kakak aku supaya doble cleansing.aku beli donk micellar water pond's. ternyata enak banget. hbs makeup aku bersihin pake micellar water pond's. baru deh cuci muka. terasa banget bersihnya. mana micellar water dari pond's itu mengandung vitamin. jadi wajah aku lebih cerah dan nggak kering deh.ð"
1268,cndyaicaa,19 - 24,"Normal, Medium, Warm",17 Oct 2022,5,"Sebelumnya sempat pakai micellar water merk lain, tp bersihnya kurang keset. Karena dari SMP aku pakai Pond's, aku coba pakai micellar water punya Pond's aja deh, ternyata malah cocok yang ini. bersihnya keset, wajah lebih cerah dan segar juga. luvv banget"
1269,dwi_wulandari,19 - 24,",19 - 24",17 Oct 2022,5,"Produk yang sangat minimalis gampang buat di bawa kemana-mana anti ribet nd engga makan banyak tempat loh. Recommend banget deh buat kalian, karena produknya juga bagus loh. Pokoknya tidak mengecewakan kalian. Hehehe, yuk beli sekarang."
1270,Ccaesariany_,19 - 24,"Dry, Medium Light, Neutral",17 Oct 2022,5,"Nyobain ini karna liat temen pake katanya bagus, terus beli deh dan pas nyoba ternyata cocok banget dikulitku, makeup bener bener musnah seketika pake ini, ternyata sebagus itu, suka bangeg deh pokoknya sama micellar water ponds ini, sangat recommended dan must try bangett"
1271,erlinarahmynt,25 - 29,"Combination, Medium Light, Neutral",16 Oct 2022,3,"pertama kali coba okay sih gak lengket dan gak bikin kering. tapi kurang suka fragrance nya, sedikit ganggu di hidungku. untuk membersihkannya butuh lebih banyak effort supaya wajah benar-benar bersih. repurchase? hm I don't think so.."
1272,awkdede,19 - 24,"Normal, Medium Light, Neutral",16 Oct 2022,5,"baru kali ini nemu produk sebagus ini yang hanya dengan satu produk bisa buat wajah bersih dan mekeup terangkat semua. ini barang rekomedd banget buat kalian yang mau wajah bersih ada vitamin nya juga , membersihkan tanp ribet hanya dengan satu produk saja bisa langsung bersih"
1273,bankins,30 - 34,"Oily, Medium, Warm",16 Oct 2022,4,"produk yang bagus tapi bukan yg amazing banget sih. layaknya micellar water lain yg fungsinya buat membersihkan kotoran, minyak sampai makeup ringan di wajah. pros karena dia cukup ampuh buat angkat dosa di wajah, makeup ringan dan sunscreen bisa dihapus dengan baik. dia ga ada rasa perih di kulit dan ga bikin blurry pas kena mata. ada wangi tapi bisa ditolerir karena enak wanginya, harganya terjangkau dan ini mudah didapat ya bahkan aku belinya di minimarket dekat rumah. consnya karena dia masih ada wewangian jadi buat kulitnya yg super sensitif aku ga rekomendasiin ini ya, dan yang suka pake heavy makeup ini ga terlalu ampuh, produk water resistant susah untuk dibersihkannya."
1274,Arlita192,25 - 29,"Normal, Medium, Neutral",16 Oct 2022,5,Suka sama produk ponds karna produk lama dan berkualitas â¤ Ponds vitamin miraccle water cocok digunakan sehari hari untuk membersihkan make up. Karna mengandung 5 vitamin dan kandungan extra mawarnya yang membuat kulit menjadi bersih kembali dan ternutrisi ðâ¨
1275,anitaratna,30 - 34,"Normal, Medium, Neutral",15 Oct 2022,5,"aku lagi pake ini untuk bersihin make up aku yang ga terbilang tebel, karena aku ga begitu sering pergi2 jadi cocok di kulit aku dan langsung ngebersihin sisa bedak dan make up dengan sempurna. hasilnya ga bikin muka kusam, tetep cerah. dan untuk bagian make up mata yg waterproof kaya eyeliner gitu bisa hilang tapi harus d usap beberapa kali. wanginya bunga mawar gitu kaya rose water tapi ini lebih enak rasanya. sukaaa sama wangiinyaaa :D"
1276,agiandila,19 - 24,"Combination, Medium Light, Neutral",15 Oct 2022,4,"Pond's Vitamin Micellar Water ini micellar water kecintaan aku. Produknya bener-bener bisa mengangkat kotoran sisa make up terus ga bikin kering di muka, sangat membantu aku yang suka make up an setiap hari. Dan ini juga sama sekali ga berefek aneh dan bikin jerawatan di aku, recommended banget deh!"
1277,kiyaamany,19 - 24,"Combination, Medium, Neutral",15 Oct 2022,4,"Setelah pake ini muka kerasa seger. Bisa remove kotoran dan make-up. Wangi nya juga enak, bikin nambah seger. Nyaman banget buat muka. Gak bikin kulit wajah kering atau perih. Harganya juga bersahabat dan gampang nyarinya kalau abis. oke banget"
1278,addianaica,35 - 39,"Combination, Medium Light, Neutral",15 Oct 2022,3,"Di aku yang makeupnya lumayan, micellar water ini hanya bisa membersihkan complexion, itu pun harus berkali2 ganti kapas, untuk cream eyeshadow masih kurang bersih. Menurutku ini lebih nyaman untuk bersihin wajah yang tanpa makeup, karena dia benar benar seperti air yang kasih efek segar di wajah tanpa rasa lengket. Mungkin cocok kalo pas lagi mager banget, kayaknya bisa setelah bersihin pakai ini lanjut tidur, karena dia bebas alkohol dan ada kandungan niacinamide dan ekstrak tumbuhan. Tapi.... yakin kalian rela tidur tanpa bersihin wajah secara oke? Mending ke kamar mandi bentar deh double cleansing."
1279,Dinda_espe,25 - 29,"Combination, Medium Light, Neutral",14 Oct 2022,5,"Bagus sih, bikin seger habis pakenya. ngga ada residu & ngga perih dimata sih yang penting, soalnya kalo daya ngebersihinnya kurang tau ya kalo yang untuk full make up, kalo diaku yang cuma pake sunscreen kalo siang mah bagus2 aja, ngga bikin jerawatan juga"
1280,nabellarizkykh,25 - 29,",25 - 29",14 Oct 2022,5,"Double cleansing andalan akuuuu , buat setiap hari kerjanya full makeup kaya aku , ini andalan bgt biar ga jerawatan , micellar water ini rekomen bgt karna gampang bgt ngangkat makeup nya , sekali usap aja udah bersih bgt , biar lebih maximal lanjut pake whip foamnya ponda juga ðð"
1281,Restu27,25 - 29,"Oily, Medium, Neutral",13 Oct 2022,4,"Alhamdulilah kesekian kalinya bisa cobain produk dr fd try & review. Setelah aku coba, bisa banget ngngkat kotoran2 dmuka dan ga berasa lengket sama sekali. Ga ada efek cekit2 di kulit juga, so far so good. Boleh nih untuk repurchase lagi. ."
1282,nunur,25 - 29,"Dry, Medium Light, Warm",12 Oct 2022,4,"Micellar water ini teksturnya cair, bening, dan ada wangi rose. Klaimnya dia bisa mencerahkan, tapi di aku belum keliatan yaa. Micellar water ini menurut ku cocok buat pemakaian daily karena mampu mengangkat kotoran dari debu2 polusi udara. Cocok buat double cleansing. Minusnya, dia gak bisa ngebersihin makeup waterproof kaya mascara gitu. Tapi it's okay, tadi aku bilang ini emang cocok buat daily yaaa. Harganya pun terjangkau dengan size yg cukup jumbo."
1283,a.mnd.a,25 - 29,"Combination, Medium Light, Neutral",12 Oct 2022,3,"Aku sebenernya memang dari dulu ga cocok pakai micellar water. Agak takut coba sebenernya tapi penasaran juga karena proses mencari ada ga micellar water yg cocok diaku. Ternyata produk ini tidak terlalu buruk dan masih bisa aku pakai. Enggak ada efek kering cekit-cekit juga. Overall oke sih, mungkin yg kulitnya tidak se sensitif aku boleh cobaa"
1284,lailyizzati,25 - 29,"Combination, Medium, Warm",12 Oct 2022,5,"Yeay. Thankyou Female daily & ponds. Sebelumnya aku udh pernah pake produk ini. Iseng2 ikut fd try & review. Eh dapet hehe. Senengg. Selama pake produk ini hasilnya bagus. Bisa ngangkat kotoran, makeup yg ada dimuka. Ditambah harganya affordable. Thankyou!!"
1285,ndah86,30 - 34,"Oily, Medium Light, Cool",12 Oct 2022,4,"Alhamdulilah dapet ini dari FD pas banget ponds micelarku yg detox itu abis hehee.. aku pake ponds micelar ini cocok2 aja, ada 3 varian yg pernah kucoba dan ini yg ke3, botolnya besar 500ml yg mana awetttt buat sebulan lebih krn aku jarang pake make up berat hehee... textur nya cair kaya air, warna nya bening, ada sedikit hint wangi tapi itu ga ngeganggu hidung ku, sejauh ini pake yg varian ini cocok2 aja di kulit, ga bikin kenceng ketarik, ga bikin kering kulit, habis cuci muka, swipe pake exfo toner yg mild, wajah bersih ga ada sisa2an kotoran, ponds ini bekerja baik di kulit ku, dan emang harganya cukup teerjangkau untuk yg size normal, makanya pilihan utk yg budjet terbatas ini bisa bangetttt heeheheh"
1286,yuandita26,30 - 34,"Combination, Medium, Warm",11 Oct 2022,4,"First time nyobain micellar water dari Pond's. Teksturnya cair seperti micellar water pada umumnya dan wanginya khas Pond's banget yang cukup strong, sedikit mengganggu sih karena kalo lama-lama bikin puyeng. Senengnya dia alcohol-free tapi ga fragrance free. Meskipun ada niacinamide-nya tapi karena dia micellar yang biasanya aku bilas, jadi ingredient itu ga terlalu dibutuhkan. Micellar ini bisa membersihkan sisa make up dan debu-debu tapi kurang sesuai ekspektasi, could be better. Tapi kalo kamu jarang keluar rumah dan ga pake make up, micellar ini layak dicoba."
1287,azzahraps,19 - 24,"Oily, Medium Light, Neutral",11 Oct 2022,4,Got this micellar water from FD Try and Reviewð¤ So far saat pemakaian micellar water ini sangat ringan dan gaada feels bikin lengket atau bikin kusem setelah pakenya. Untuk daya bersihnya cukup oke sih karena ngga butuh waktu lama atau gosok yg kenceng buat makeup keangkat
1288,FiandaMS,25 - 29,"Combination, Medium Light, Neutral",11 Oct 2022,5,"Thankyou Femaledaily for give me a chance to get this free product from FD Try&Reviewð«¶â¤ï¸ first impression aku pas nyobain micellar water ini dia lightweight ga ada feels apa-apa di kulit aku, kerasa banget bersihnya, bau khas rose waternya cukup strong, cuma kalo buat bersihin make up waterproof apalagi mascara ini kurang nampol sih"
1289,anggrainiyua,19 - 24,"Oily, Light, Neutral",11 Oct 2022,4,"Sebelumnya terimakasih buat FD try & reviewnya!!ð¤. Personally aku suka dengan after feelnya pas habis dipakai, gak lengket tapi tetep bersih. Gaperlu try hard pas lagi menghapus makeup karena kalo pake ini tuh mudah banget bersihinnya. Tapi sayangnya muka aku jadi merah karena ada kandungan perfumenya, padahal udah cocok bangetð¥²"
1290,pritadwiita,25 - 29,"Combination, Medium Light, Cool",11 Oct 2022,5,"pertama kali banget cobain micellar water dari ponds... dan kebetulan ini dapet dari give away female daily... so far enak dipakenya, gak perih di kulit... biasanya suka agak males pake micellar water karna ada sensasi pedih di kulit... bersih juga... jujur aja aku jarang pake, krn emang jarang makeup... jadi paling dipakenya kalo habis pergi""an yg seharian, atau habis pake makeup yg berat... semua debu/sisa makeup keangkat semua dong...nempel semua di kapas, tanpa harus pake tekanan lebih kekulit wajah/leher... btw suami ku jg suka, muka jd seger katanya ð¤­ love bgt sama micellar water dr ponds ini...next kalo udah abis, mau cobain yg varian lainnya ahh.."
1291,Meyandrianchi,30 - 34,"Normal, Medium Light, Neutral",11 Oct 2022,5,"Thank you Female Daily x Pond's buat kesempatan nyobain produk nya. Stelah pemakaian beberapahari akhirnya bisa review juga.. Micellar water ini punya aroma khas Pond's bikin seger deh buat double cleansing, mengangkat sisa skincare dan bedak sehari hari aku nya pun bersih dan ini gak bikin perih dimata loh, sukaa banget deh pokonya ga perlu effort deh buat bersihin wajah kita sekatangyada kandungan terbaru nya yg bisa membantu mencerahkan kulitð"
1292,lanilaa,25 - 29,"Combination, Medium, Warm",11 Oct 2022,5,Ini jadi salah satu micellar water kesukaan aku! Ngebersihinnya oke banget tapi sama sekali gak bikin kering jadi aman banget walaupun kulit lagi kering-keringnya. Ada wanginya rose gitu yang lumayan nyengat jadi bisa buat pertimbangan yang punya sensitive skin yah â¤ï¸
1293,Mozzaazaaa,19 - 24,"Combination, Medium Light, Neutral",11 Oct 2022,5,"Aku pakai ponds tuh sejak SMP ya, trus sampe hari ini gak pernah ganti-ganti. Karena aku tu udah coba skincare lain tapi jerawatn, cumaaa kalo ponds ga banget bikin jerawatn. Love, Pondsss, pleasee selalu produksi dan jangan naik-naik harganya. Please jadiin aku BA hehe, canda~~~~"
1294,nadhino,35 - 39,"Combination, Medium, Warm",11 Oct 2022,4,"Thank you FD udah kasih kesempatan untuk nyobain micellar waternya Ponds yg varian brightening rose. Dia bekerja dengan baik sebagai pembersih wajah dr make up ringan, debu dan kotoran. Yang saya suka, dia ngga perih di mata. Buat yg udah kenal Ponds dari jaman abg pasti udah apal sama aroma khas produk Ponds, aroma itu yg pertama aku notice dari micellar water ini, tapi dengan tambahan wangi rose water yang seger banget."
1295,miegoreng,25 - 29,"Combination, Medium, Neutral",11 Oct 2022,4,"First of all, thank you so much FD dan Ponds udah kasih aku kesempatan untuk cobain product ini. Happy banget pas tau aku dikirimin karena product ini menang award di FD. Ok now, on to the review, setelah pake selama lebih dari semingguan, menurutku ini micellar water yang cukup oke untuk membersihkan makeup dan kotoran di wajah. Ga perlu gosok-gosok terlalu keras, udah ngangkat banget kok. Bonus point juga ini ramah untuk dry skin dan dengan mudah bisa kalian temuin di drugstore bahkan supermarket. Keep in mind, ini wanginya lumayan nyengat ya karena kan kita pasti bersihin daerah hidung aja jadi mungkin kalo kalian sensitif sama wewangian, this product might not be your favorite."
1296,Scparamita,25 - 29,"Combination, Medium Light, Neutral",10 Oct 2022,5,"Dulu punya pengalaman buruk sama merk ponds, setiap pake varian apapun pasti bikin jerawatan. Dan skrg dapet kesempatan dari fd try&review produk ponds. Awalnya degdegan tp yaa kita coba aja first impresion waktu buka tutupnya itu wangiii enak bgttt kaya parfume rose gituu enakk bgtt trs waktu kucoba buat hapus make up ternyata cukup ampuh juga. Gak buat kering dan berasa ketarik. Entah perasaanku aja atau memang dia ada efek mencerahkan gitu and suprisingly gak buat aku muncul jerawatâ¤ï¸â¤ï¸"
1297,arsyydtia,18 and Under,"Combination, Medium Dark, Neutral",09 Oct 2022,5,"Awalnya beli ini tuh size kecil karna ganti micellar water dri biasa dipake, DANN INI ENAK BANGET BUAT DIPAKEE aaa sk sm baunya yg bnr2 bunga mawar, ringan dan agk cepet meresap sihh, cmn diaku oke oke ajaa, baunya ga ganggu gada bau alkohol bnrn sesuai 100% non alkohol jdi aman buat yg punya kulit sensitif karna skin type aku jg combi sensitif"
1298,Khamsiyatin,30 - 34,"Combination, Medium, Neutral",08 Oct 2022,5,"Ini dia ponds micellar andalanku buat bersihin semua makeup diwajah sampe bersih tanpa sisa , pemakaiannya juga sangat simpel dan praktis kulit wajah terasa lebih bersih , fresh dan cerah ,harganya terjangkau dan produknnya udah banyak yang jual jadi mudah dicarinya , five star buat ponds ponds micellar"
1299,rchma,18 and Under,"Combination, Medium, Neutral",08 Oct 2022,4,"dulu aku udah pernah beli ini tpi yg travel size and dia itu ada fragrancenya harum jadinya mampu bersihin makeup"" ,kalau waterproof sih kurang tau yaa bcs aku belum pernah pake.bersihnya nya dia dapet ,tapi setelahnya langsung cuci muka aja bkin muka sedikit,sedikit banget jadi minyakan jadi ku saranin lngsung bilas aj yaa.."
1300,Niaalstari,30 - 34,"Normal, Medium Light, Neutral",08 Oct 2022,5,"Terima kasih female daily aku punya kesempatan cobain product ini ð¥° Kesan pertama nyobain bener2 langsung suka, wanginya lembut, sangat membantu mengangkat kotoran dan bekas make up di muka ku â¤ï¸ Harganya juga affordable aku rekomend banget â¨"
1301,gbpaskal,25 - 29,"Oily, Medium, Neutral",08 Oct 2022,5,"Pertama kali pake yang di notice adalah wanginya, wanginya soft calming gitu jadi bikin mood bersihin muka untuk aku pribadi ð untuk make up ringan 1 kapas aja cukup, tapi kl lagi full make up bisa 2-3 kapas. Angkat kotoran di muka menurut aku bagus karna abis pake micellar ponds ini, cuci muka, terus pake exfo toner di kapas dan muka udah bersih ngga ada sisa-sisa make up lagi ð untuk ngebersihin maskara waterproof emang sedikit effort tapi tetep bisa ngebersihin maksimal. Produk ini juga ngga bikin wajah terasa kering/keset/ketarik abis dipakai. Buat aku bisa jadi rekomendasi micellar water terutama untuk daily use. Thank you FD untuk Try and Reviewnya ð«¶ð»"
1302,vsciel,25 - 29,"Oily, Medium, Neutral",08 Oct 2022,5,"Bagi aku yang daily pake SS + bedak dan kadang makeup ringan, micellar water ini daya angkat kotorannya udah bagus banget. Karena selain harganya yang murah dan Ingredients nya menarik, ada 5 Vitamin (Vit A, B3, B5, C, E) + french rose. Aromanya yang tentu saja rosey, bagiku ga ganggu. Setelah pemakaian >1 minggu pun aman di kulit acne prone ku. Setelah dipake pun ga lengket dikulit dan nggak perih di mata."
1303,madelinechndr,18 and Under,"Oily, Medium, Neutral",08 Oct 2022,4,"Thank you FD Try & Review sudah memberi kesempatan aku untuk mencoba produk ini! dari packaging lucu banget deh! micellar water ini ada  wangi nya juga bau mawar gitu, selama pemakaian di kulit acne prone aku fine2 aja sangat membantu membersihkan make up & gak perih di kulit â¤ï¸"
1304,muthmainnahyusuf,25 - 29,"Combination, Medium Light, Warm",07 Oct 2022,5,"thank you FD x Pond's udah ngirimin ini disaat micellar waterku udah mau abis, sekalian mau nyobain micellar water dari pond's juga.. pertama make yg paling ku notice adalah wanginya hihi takut kulit kenapa"" tapi untungnya non-alcohol. Wangi rose nya lembut, ngga bikin muka lengket dan ketarik juga setelah pemakaian.. bikin kulit bersih banget untuk aku yg cuma make ss hari""nya, efek cerahannya juga ada. overall kulitku aman pake ini. micellar water kedua yg cocok di akuð"
1305,Rejinrere,25 - 29,"Combination, Light, Neutral",06 Oct 2022,3,"Micellar water terwangi yg pernah gue coba! Untuk kawan2 yg gak masalah dgn fragrance, pasti bakalan suka, karena beneran setelah dipakai lembap tapi gak lengket, but menurut isi pikiran gue aromanya horor, berasa (maaf bgt) kaya bunga kuburan yaa saay. Formulasinya sebenarnya cukup bagus yaa, tapi kalo utk makeup2 yg lumayan berat, rada effort yaa, butuh sedikit usaha & kapas yg lumayan (4-5) kapas. Apakah akan gue rekomendasi? Iya, utk teman2 yg gak sensitif sm aroma strong, & yg pake makeup ringan2 or sunscreen aja sehari2. ð"
1306,feifei95,25 - 29,"Combination, Light, Cool",06 Oct 2022,5,"micellar water ini seger, dipake gitu ga bikin lengket dikulit. ada wangi rosenya yg bikin calming, buat bersihin wajah okay sih, bisa ngangkat debu dan make up. ga bikin perih pas dibagian mata. trs bisa menutrisi kulit jg karna mengandung vitamin."
